WELL NAME	LAT	LON
71415	"37° 24' 22.5428"" N"	"120° 43' 37.1215"" W"
1001N.WEAVER	"37° 17' 25.5048"" N"	"120° 26' 30.0209"" W"
2685E.CHILDS	"37° 17' 17.3608"" N"	"120° 26' 17.2921"" W"
2901E.CHILDS	"37° 17' 18.1633"" N"	"120° 26' 06.6843"" W"
2957E.CHILDS	"37° 17' 18.1528"" N"	"120° 26' 03.2236"" W"
2985E.CHILDS	"37° 17' 18.0225"" N"	"120° 26' 02.0543"" W"
3160E.CHILDSEFF	"37° 17' 17.5732"" N"	"120° 25' 49.8115"" W"
400N.WEAVER	"37° 17' 19.7383"" N"	"120° 26' 27.1467"" W"
480N.WEAVER	"37° 17' 22.1157"" N"	"120° 26' 27.0970"" W"
BZW-5	"37° 17' 12.8554"" N"	"120° 30' 43.9840"" W"
BZW-6	"37° 17' 14.1439"" N"	"120° 30' 40.7707"" W"
DPE1	"37° 15' 31.4478"" N"	"121° 00' 01.8046"" W"
DPE2	"37° 15' 31.5280"" N"	"121° 00' 01.4997"" W"
E-1	"37° 17' 32.2267"" N"	"120° 25' 00.8882"" W"
INFLUENT	"37° 23' 45.2864"" N"	"120° 43' 45.9760"" W"
MW-103	"37° 05' 52.0792"" N"	"120° 55' 25.4118"" W"
MW-104	"37° 05' 51.1295"" N"	"120° 55' 24.5747"" W"
MW-10A	"37° 17' 41.7641"" N"	"120° 27' 32.3074"" W"
MW-12B	"37° 03' 28.2484"" N"	"120° 50' 29.4590"" W"
MW-12C	"37° 03' 28.2697"" N"	"120° 50' 29.4449"" W"
MW-13A/B	"37° 03' 30.2551"" N"	"120° 50' 23.7069"" W"
MW-13B	"37° 03' 30.2436"" N"	"120° 50' 23.6810"" W"
MW-13C	"37° 03' 30.2662"" N"	"120° 50' 23.7346"" W"
MW-13D	"37° 23' 55.7242"" N"	"120° 44' 20.1055"" W"
MW-19A	"37° 17' 41.3707"" N"	"120° 27' 30.1953"" W"
MW-20	"37° 03' 56.3583"" N"	"120° 51' 19.3402"" W"
MW-22	"37° 17' 08.9923"" N"	"120° 30' 36.6821"" W"
MW-25	"37° 17' 29.3755"" N"	"120° 25' 03.8701"" W"
MW-26	"37° 17' 40.4537"" N"	"120° 24' 56.1441"" W"
MW-26B	"37° 03' 57.4506"" N"	"120° 51' 15.8803"" W"
MW-26C	"37° 03' 57.4506"" N"	"120° 51' 15.8803"" W"
MW-27	"37° 17' 40.4545"" N"	"120° 24' 56.0077"" W"
MW-27B	"37° 03' 56.7122"" N"	"120° 51' 14.2790"" W"
MW-27C	"37° 03' 56.7122"" N"	"120° 51' 14.2790"" W"
MW-28	"37° 17' 34.4526"" N"	"120° 25' 04.3600"" W"
MW-28B	"37° 03' 56.6341"" N"	"120° 51' 13.9078"" W"
MW-28C	"37° 03' 56.6341"" N"	"120° 51' 13.9078"" W"
MW-29	"37° 03' 56.4573"" N"	"120° 51' 19.2322"" W"
MW-2D	"37° 03' 54.9993"" N"	"120° 51' 06.5617"" W"
MW-30	"37° 03' 55.1635"" N"	"120° 51' 18.1396"" W"
MW-31C	"37° 03' 55.9108"" N"	"120° 51' 17.1248"" W"
